block,week,odds,target,pnl,sport
4,202607,1.65,1,0.6499999999999999,Tennis
4,202607,1.45,1,0.44999999999999996,Soccer
4,202607,1.45,1,0.44999999999999996,Soccer
4,202607,1.56,0,-1.0,Soccer
4,202607,2.6676,0,-1.0,Soccer
4,202607,1.57,0,-1.0,Soccer
4,202607,2.0,1,1.0,Soccer
4,202607,1.57,0,-1.0,Soccer
4,202607,1.57,0,-1.0,Soccer
4,202607,1.67,0,-1.0,Tennis
4,202607,1.71,0,-1.0,Soccer
4,202607,2.0,0,-1.0,League of Legends
4,202607,1.18,1,0.17999999999999994,Cricket
4,202607,1.5,1,0.5,Tennis
4,202607,3.23,1,2.23,Soccer
4,202607,1.85,1,0.8500000000000001,Tennis
4,202607,2.35,0,-1.0,Tennis
4,202607,1.33,1,0.33000000000000007,Tennis
4,202607,1.65,0,-1.0,Tennis
4,202607,1.4,0,-1.0,Tennis
4,202607,2.6676,0,-1.0,Soccer
4,202607,1.55,0,-1.0,Soccer
4,202607,1.4,1,0.3999999999999999,Tennis
4,202607,76.4833,0,-1.0,Soccer
4,202607,79.4412,0,-1.0,Soccer
4,202607,72.4998,0,-1.0,Soccer
4,202607,1.3,1,0.30000000000000004,Tennis
4,202607,1.37,1,0.3700000000000001,Tennis
4,202607,1.3,1,0.30000000000000004,Tennis
4,202607,1.37,1,0.3700000000000001,Tennis
4,202607,28.2513,0,-1.0,Tennis
4,202607,5.9567,0,-1.0,Soccer
4,202607,7.14,1,6.14,Soccer
4,202607,1.35,1,0.3500000000000001,Tennis
4,202607,4.1608,1,3.1608,Soccer
